BEAM        RA(J2000)  DEC(J2000)
	    
PLMC026_11  04:42:14.5 -69:02:54.2
PLMC026_12  04:34:11.5 -68:36:55.8
PLMC026_13  04:34:27.5 -67:46:11.9
PLMC027_01  04:41:16.0 -67:59:11.9
PLMC027_02  04:43:48.0 -67:33:54.4
PLMC027_03  04:46:26.4 -67:58:50.4
PLMC027_04  04:43:54.6 -68:24:17.1
PLMC027_05  04:38:38.4 -68:24:20.4
PLMC027_06  04:36:05.6 -67:58:56.9
PLMC027_07  04:38:43.0 -67:33:57.6
PLMC027_08  04:41:15.0 -67:08:26.7
PLMC027_09  04:48:56.0 -67:33:03.6
PLMC027_10  04:49:14.1 -68:23:47.1
PLMC027_11  04:41:17.1 -68:49:57.2
PLMC027_12  04:33:18.8 -68:23:57.1
PLMC027_13  04:33:35.0 -67:33:13.2
PLMC028_01  04:38:49.0 -67:57:13.9
PLMC028_02  04:33:39.1 -67:56:59.1
PLMC028_03  04:36:16.2 -67:31:59.7
PLMC028_04  04:41:20.7 -67:31:56.3
PLMC028_05  04:43:58.9 -67:56:52.3
PLMC028_06  04:41:27.4 -68:22:19.0
PLMC028_07  04:36:11.7 -68:22:22.5
PLMC028_08  04:30:52.6 -68:21:59.4
PLMC028_09  04:31:08.5 -67:31:15.6
PLMC028_10  04:38:48.0 -67:06:28.7
PLMC028_11  04:46:28.3 -67:31:05.4
PLMC028_12  04:46:46.4 -68:21:48.9
PLMC028_13  04:38:50.1 -68:47:59.2
PLMC029_01  04:37:24.0 -66:30:12.0
PLMC029_02  04:34:59.9 -66:04:59.2
PLMC029_03  04:39:46.9 -66:04:55.4
PLMC029_04  04:42:15.8 -66:29:52.1
PLMC029_05  04:39:53.0 -66:55:18.2
PLMC029_06  04:34:56.1 -66:55:22.1
PLMC029_07  04:32:32.2 -66:29:59.9
PLMC029_08  04:30:09.9 -66:04:18.0
PLMC029_09  04:37:22.9 -65:39:27.7
PLMC029_10  04:44:36.9 -66:04:06.5
PLMC029_11  04:44:53.0 -66:54:50.2
PLMC029_12  04:37:25.2 -67:20:58.3
PLMC029_13  04:29:56.1 -66:55:02.1
PLMC030_01  04:39:43.0 -66:32:15.9
PLMC030_02  04:42:06.2 -66:06:58.4
PLMC030_03  04:44:35.2 -66:31:55.2
PLMC030_04  04:42:12.2 -66:57:21.1
PLMC030_05  04:37:14.9 -66:57:24.0
PLMC030_06  04:34:50.8 -66:32:02.7
PLMC030_07  04:37:18.8 -66:07:02.1
PLMC030_08  04:39:41.9 -65:41:30.6
PLMC030_09  04:46:56.5 -66:06:09.6
PLMC030_10  04:47:12.6 -66:56:53.2
PLMC030_11  04:39:44.1 -67:23:01.2
PLMC030_12  04:32:14.4 -66:57:04.8
PLMC030_13  04:32:28.3 -66:06:20.7
PLMC031_01  04:38:50.0 -66:19:11.9
PLMC031_02  04:41:13.0 -65:53:54.7
PLMC031_03  04:43:40.7 -66:18:51.9
PLMC031_04  04:41:18.8 -66:44:17.5
PLMC031_05  04:36:24.2 -66:44:20.7
